trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
588,False,"{'a': 0.002, 'e': 0.30912795312868047}",20,13,1.4261204589904493,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
589,False,"{'a': 0.002, 'e': 0.3085103150663647}",30,0,-55.99915871254109,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
590,False,"{'a': 0.002, 'e': 0.3078939110457206}",20,3,9.448589409902192,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
591,False,"{'a': 0.002, 'e': 0.30727873860113125}",25,6,5.4805890470334155,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
592,False,"{'a': 0.002, 'e': 0.306664795271906}",25,3,-8.090429458036631,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
593,False,"{'a': 0.002, 'e': 0.3060520786022707}",30,20,-3.230181449169441,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
594,False,"{'a': 0.002, 'e': 0.3054405861413579}",30,4,34.099933509946844,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
595,False,"{'a': 0.002, 'e': 0.30483031544319683}",35,22,-15.436512723842771,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
596,False,"{'a': 0.002, 'e': 0.3042212640667041}",20,12,4.545050001211207,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
597,False,"{'a': 0.002, 'e': 0.30361342957567317}",30,14,8.434126333457003,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
598,False,"{'a': 0.002, 'e': 0.3030068095387654}",25,12,-14.906764748305276,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
599,False,"{'a': 0.002, 'e': 0.3024014015294998}",20,0,11.750413651765998,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
600,False,"{'a': 0.002, 'e': 0.3017972031262435}",20,7,9.869460458499049,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.002, 'e': 0.30119421191220214}",25,15,-7.101389729358903,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
602,False,"{'a': 0.002, 'e': 0.30059242547541}",25,6,-29.493819011651837,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
603,False,"{'a': 0.002, 'e': 0.2999918414087205}",25,15,13.236369400902259,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.002, 'e': 0.2993924573097967}",20,5,4.331485475595656,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
605,False,"{'a': 0.002, 'e': 0.29879427078110127}",20,10,6.368991946848374,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
606,False,"{'a': 0.002, 'e': 0.2981972794298874}",25,3,18.714541180508284,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
607,False,"{'a': 0.002, 'e': 0.29760148086818883}",20,0,-2.821144348705178,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
608,False,"{'a': 0.002, 'e': 0.2970068727128105}",20,0,-13.93654645332788,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
609,False,"{'a': 0.002, 'e': 0.2964134525853191}",20,8,11.921817272899435,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
610,False,"{'a': 0.002, 'e': 0.2958212181120332}",20,0,12.835111950510472,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
611,False,"{'a': 0.002, 'e': 0.2952301669240142}",30,4,-19.721317350232482,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
612,False,"{'a': 0.002, 'e': 0.29464029665705654}",25,0,25.92155275393891,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
613,False,"{'a': 0.002, 'e': 0.29405160495167837}",20,6,15.659733142760729,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
614,False,"{'a': 0.002, 'e': 0.2934640894531121}",20,13,9.817882939835336,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.002, 'e': 0.2928777478112949}",25,3,16.267257415145448,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.002, 'e': 0.2922925776808594}",25,14,1.7846959963310582,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.002, 'e': 0.2917085767211244}",30,0,-22.487515727841103,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
618,False,"{'a': 0.002, 'e': 0.2911257425960852}",25,4,29.10670430666076,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.002, 'e': 0.2905440729744046}",20,0,23.37455509140217,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.002, 'e': 0.2899635655294032}",25,3,8.238151414688518,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
621,False,"{'a': 0.002, 'e': 0.2893842179390506}",20,0,-16.8082155635212,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
622,False,"{'a': 0.002, 'e': 0.28880602788595566}",25,13,14.319420258574397,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.002, 'e': 0.2882289930573573}",30,0,-0.1346248407593995,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
624,False,"{'a': 0.002, 'e': 0.2876531111451154}",25,0,-17.148737603954935,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
625,False,"{'a': 0.002, 'e': 0.28707837984570167}",30,0,-30.920871302010937,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
626,False,"{'a': 0.002, 'e': 0.2865047968601901}",20,13,-41.457747997741514,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
627,False,"{'a': 0.002, 'e': 0.285932359894248}",20,14,11.775747629756669,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.002, 'e': 0.28536106665812666}",20,13,2.8239803724089496,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
629,False,"{'a': 0.002, 'e': 0.2847909148666525}",20,5,-0.7231812314314261,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
630,False,"{'a': 0.002, 'e': 0.28422190223921745}",25,13,11.722717543281929,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
631,False,"{'a': 0.002, 'e': 0.2836540264997704}",20,10,4.401497870274459,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
632,False,"{'a': 0.002, 'e': 0.2830872853768075}",25,7,-19.79161308148445,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
633,False,"{'a': 0.002, 'e': 0.2825216766033636}",25,15,19.65914145531688,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
634,False,"{'a': 0.002, 'e': 0.28195719791700274}",25,2,-1.0032486047137117,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
635,False,"{'a': 0.002, 'e': 0.2813938470598095}",25,0,11.228919784786,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
636,False,"{'a': 0.002, 'e': 0.2808316217783798}",20,11,12.750778718368041,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.002, 'e': 0.28027051982381157}",20,0,9.22626129179431,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
638,False,"{'a': 0.002, 'e': 0.27971053895169634}",25,11,15.80465418231995,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.002, 'e': 0.27915167692210985}",20,12,11.689119192542499,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.002, 'e': 0.27859393149960326}",35,22,7.245646421831212,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
